Date,Source,Content,Label_chinese,Labels_original,Labels_4classes,新冠（0/1）,回应（0/1）
5/12/2020,Trending Search,美国居民家闯入一只鳄鱼,国际新闻,International_affairs_world,International_news,,
12/17/2019,Trending Search,大明风华开播,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
4/26/2020,Trending Search,当小朋友被老师说长胖了,软新闻-休闲,Soft_news_casual,Soft_news,,
8/29/2020,Trending Search,这就是街舞,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
12/8/2019,Trending Search,打麻将匹配到自己男朋友,软新闻-休闲,Soft_news_casual,Soft_news,,
7/15/2020,Trending Search,江歌妈妈起诉刘鑫证据认证完成,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,
3/9/2020,Trending Search,最美的夜景照,软新闻-休闲,Soft_news_casual,Soft_news,,
9/14/2020,Trending Search,虞书欣翻不过去跟头,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
10/11/2020,Trending Search,云南20多头野象进村拆家偷食,软新闻-休闲,Soft_news_casual,Soft_news,,
2/25/2020,Trending Search,科比妻子起诉失事直升机公司,国际新闻,International_affairs_world,International_news,,
3/10/2020,Trending Search,湖北以外连续3天无本土确诊病例,社会热点-趋势,Current_affairs_trends,Domestic_news,1,
12/5/2020,Trending Search,重庆一煤矿发生一氧化碳超限24人被困,社会热点-灾难,Current_affairs_disasters,Domestic_news,,
5/29/2020,Trending Search,张文宏谈乘飞机回国注意事项,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,
8/15/2020,Trending Search,拜仁8-2巴萨,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
7/26/2020,Trending Search,央视曝光新闻App登假货广告,社会热点-经济,Current_affairs_economy,Domestic_news,,
8/22/2020,Trending Search,以家人之名 CP大乱炖,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
11/16/2019,Trending Search,大学该不该开恋爱必修课,软新闻-休闲,Soft_news_casual,Soft_news,,
12/24/2019,Trending Search,花泽香菜参加北京卫视跨年,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
6/26/2020,Trending Search,柴鸡蛋,软新闻-休闲,Soft_news_casual,Soft_news,,
4/2/2020,Trending Search,刘诗诗黑长直,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
7/4/2020,Trending Search,欧盟正式批准瑞德西韦为新冠治疗药物,国际新闻,International_affairs_world,International_news,,
3/10/2020,Trending Search,自制芝士吐司披萨,软新闻-休闲,Soft_news_casual,Soft_news,,
2/16/2020,Trending Search,湖北通报首次未见疑似病例,社会热点-趋势,Current_affairs_trends,Domestic_news,1,
2/15/2020,Trending Search,被迫吃狗粮的你,软新闻-休闲,Soft_news_casual,Soft_news,,
12/2/2020,Trending Search,泰山山顶矿泉水5元一瓶,软新闻-休闲,Soft_news_casual,Soft_news,,
2/5/2020,Trending Search,居家消毒液怎么选,软新闻-休闲,Soft_news_casual,Soft_news,,
8/4/2020,Trending Search,低脂锡纸鸡胸肉,软新闻-休闲,Soft_news_casual,Soft_news,,
12/3/2020,Trending Search,离婚冷静期实施条款,政府政策,Government_policy,Domestic_news,,
12/23/2019,Trending Search,朋友谈恋爱的前后表现,软新闻-休闲,Soft_news_casual,Soft_news,,
11/5/2020,Trending Search,鹿方宁表白凌睿,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
7/19/2020,Trending Search,涉仝卓事件临汾市教育局总督学被逮捕,犯罪与审判,Criminal&court,Domestic_news,,
8/15/2020,Trending Search,肖战黄景瑜 王牌,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
3/21/2020,Trending Search,美国议员一边瞒报疫情一边抛售股票,国际新闻,International_affairs_world,International_news,1,
11/15/2020,Trending Search,RM,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
8/25/2020,Trending Search,以家人之名,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
7/26/2020,Trending Search,杭州杀妻男子曾称身正不怕影子斜,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,
3/1/2020,Trending Search,意大利居民拒戴口罩要自由,国际新闻,International_affairs_world,International_news,,
5/23/2020,Trending Search,建议增加0-3岁婴幼儿免费体检频次,社会热点-趋势,Current_affairs_trends,Domestic_news,,
9/28/2020,Trending Search,李沁工作室撤下单身声明,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
8/12/2020,Trending Search,北京市山区景区全部关闭,政府政策,Government_policy,Domestic_news,,
11/18/2020,Trending Search,哈登去哪儿,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
6/29/2020,Trending Search,武汉毕业生换脸PS全班毕业照,软新闻-休闲,Soft_news_casual,Soft_news,,
2/19/2020,Trending Search,全国累计确诊新冠肺炎74185例,社会热点-趋势,Current_affairs_trends,Domestic_news,,
3/27/2020,Trending Search,浙江新增1例本土病例,社会热点-趋势,Current_affairs_trends,Domestic_news,1,
12/28/2019,Trending Search,王源看黄雅莉演唱会,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
3/26/2020,Trending Search,这届毕业生实在太难了,软新闻-休闲,Soft_news_casual,Soft_news,,
2/28/2020,Trending Search,辛龙,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
3/6/2020,Trending Search,三生三世枕上书大结局,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
12/12/2019,Trending Search,duck不必,软新闻-休闲,Soft_news_casual,Soft_news,,
3/28/2020,Trending Search,外交部敦促美方不得实施所谓台北法案,中外新闻,International_affairs_china_related,International_news,,
7/20/2020,Trending Search,时代少年团奖品是教辅书,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
6/20/2020,Trending Search,10岁确诊男孩说住院就是换个地儿学习,软新闻-休闲,Soft_news_casual,Soft_news,,
12/16/2020,Trending Search,林青霞 你是男人还是女人,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
12/3/2020,Trending Search,东北民房着火村民铲雪灭火,软新闻-休闲,Soft_news_casual,Soft_news,,
12/17/2019,Trending Search,央视发布新版七子之歌MV,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
6/28/2020,Trending Search,6岁男孩溺亡父亲下跪嘶吼求救,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,
10/30/2020,Trending Search,德云斗笑社收官,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
9/18/2020,Trending Search,新蝙蝠侠恢复拍摄,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
12/7/2019,Trending Search,北京的云,软新闻-休闲,Soft_news_casual,Soft_news,,
5/20/2020,Trending Search,武汉网红窗帘主人领证,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
