日期,热搜标题,热度,标签,新冠（0/1）,回应,Label-level-1,Label-level-2,Label-level-3
2020年05月12日11点数据,美国居民家闯入一只鳄鱼,380172,国际新闻-国际新闻（与中国无关）,,,International News,International News (non-China),International News--International News (non-China)
2019年12月17日23点数据,大明风华开播,1429788,软新闻-娱乐圈,,,Soft news,,
2020年04月26日23点数据,当小朋友被老师说长胖了,380896,软新闻-休闲,,,,,
2020年08月29日23点数据,这就是街舞,554370,软新闻-娱乐圈,,,,,
2019年12月08日23点数据,打麻将匹配到自己男朋友,215527,软新闻-休闲,,,,,
2020年07月15日23点数据,江歌妈妈起诉刘鑫证据认证完成,1323990,社会热点-社会热点,,,,,
2020年03月09日23点数据,最美的夜景照,362419,软新闻-休闲,,,,,
2020年09月14日11点数据,虞书欣翻不过去跟头,583731,软新闻-娱乐圈,,,,,
2020年10月11日11点数据,云南20多头野象进村拆家偷食,1123654,软新闻-休闲,,,,,
2020年02月25日11点数据,科比妻子起诉失事直升机公司,3655576,国际新闻-国际新闻（与中国无关）,,,,,
2020年03月10日11点数据,湖北以外连续3天无本土确诊病例,229941,社会热点-趋势,1,,,,
2020年12月05日11点数据,重庆一煤矿发生一氧化碳超限24人被困,186770,社会新闻-灾难,,,,,
2020年05月29日11点数据,张文宏谈乘飞机回国注意事项,513871,社会热点-社会热点,,,,,
2020年08月15日11点数据,拜仁8-2巴萨,413331,软新闻-娱乐圈,,,,,
2020年07月26日23点数据,央视曝光新闻App登假货广告,2656767,社会热点-消费者权益,,,,,
2020年08月22日11点数据,以家人之名 CP大乱炖,1039283,软新闻-娱乐圈,,,,,
2019年11月16日23点数据,大学该不该开恋爱必修课,798339,软新闻-休闲,,,,,
2019年12月24日23点数据,花泽香菜参加北京卫视跨年,197264,软新闻-娱乐圈,,,,,
2020年06月26日23点数据,柴鸡蛋,714902,软新闻-休闲,,,,,
2020年04月02日11点数据,刘诗诗黑长直,414328,软新闻-娱乐圈,,,,,
2020年07月04日11点数据,欧盟正式批准瑞德西韦为新冠治疗药物,345135,国际新闻-国际新闻（与中国无关）,,,,,
2020年03月10日11点数据,自制芝士吐司披萨,237401,软新闻-休闲,,,,,
2020年02月16日11点数据,湖北通报首次未见疑似病例,3791538,社会热点-趋势,1,,,,
2020年02月15日11点数据,被迫吃狗粮的你,286852,软新闻-休闲,,,,,
2020年12月02日11点数据,泰山山顶矿泉水5元一瓶,162082,软新闻-休闲,,,,,
2020年02月05日11点数据,居家消毒液怎么选,375464,软新闻-休闲,,,,,
2020年08月04日23点数据,低脂锡纸鸡胸肉,191370,软新闻-休闲,,,,,
2020年12月03日23点数据,离婚冷静期实施条款,245874,社会政策-政府政策,,,,,
2019年12月23日11点数据,朋友谈恋爱的前后表现,378073,软新闻-休闲,,,,,
2020年11月05日23点数据,鹿方宁表白凌睿,364008,软新闻-娱乐圈,,,,,
2020年07月19日11点数据,涉仝卓事件临汾市教育局总督学被逮捕,140098,软新闻-社会事件,,,,,
2020年08月15日23点数据,肖战黄景瑜 王牌,258115,软新闻-娱乐圈,,,,,
2020年03月21日11点数据,美国议员一边瞒报疫情一边抛售股票,1012527,国际新闻-国际新闻（与中国无关）,1,,,,
2020年11月15日23点数据,RM,392857,软新闻-休闲,,,,,
2020年08月25日23点数据,以家人之名,644704,软新闻-娱乐圈,,,,,
2020年07月26日11点数据,杭州杀妻男子曾称身正不怕影子斜,361751,社会热点-丑闻,,,,,
2020年03月01日23点数据,意大利居民拒戴口罩要自由,3164789,国际新闻-国际新闻（与中国无关）,,,,,
2020年05月23日23点数据,建议增加0-3岁婴幼儿免费体检频次,718011,社会热点-趋势,,,,,
2020年09月28日11点数据,李沁工作室撤下单身声明,162795,软新闻-娱乐圈,,,,,
2020年08月12日11点数据,北京市山区景区全部关闭,211392,社会政策-本地政策,,,,,
2020年11月18日11点数据,哈登去哪儿,338379,软新闻-娱乐圈,,,,,
2020年06月29日23点数据,武汉毕业生换脸PS全班毕业照,224841,软新闻-休闲,,,,,
2020年02月19日11点数据,全国累计确诊新冠肺炎74185例,765901,社会热点-趋势,,,,,
2020年03月27日11点数据,浙江新增1例本土病例,2091944,社会热点-趋势,1,,,,
2019年12月28日23点数据,王源看黄雅莉演唱会,889850,软新闻-娱乐圈,,,,,
2020年03月26日23点数据,这届毕业生实在太难了,905642,软新闻-休闲,,,,,
2020年02月28日11点数据,辛龙,241096,软新闻-娱乐圈,,,,,
2020年03月06日11点数据,三生三世枕上书大结局,206993,软新闻-娱乐圈,,,,,
2019年12月12日11点数据,duck不必,119642,软新闻-休闲,,,,,
