Time,Weibo,Weibo_id,Main_text,Original(0/1),Numbers_of_lilkes,Numbers_of_reposts,Number_of_comments,Training(0/1),Labels,Sublabels,Covid(0/1),Response(0/1)
11/11/2019,TrendingSearch,,肖战扛住了湖南台的灯光,,2696346,,, , , , , 
11/11/2019,TrendingSearch,,双11快递员每人每天送240件快递,,2068628,,, , , , , 
11/11/2019,TrendingSearch,,11.11看着买,,1905985,,, , , , , 
11/11/2019,TrendingSearch,,吴宣仪被捶墙按门铃,,1814497,,, , , , , 
11/11/2019,TrendingSearch,,黄心颖ins发文,,1627730,,, , , , , 
11/11/2019,TrendingSearch,,为什么一点才能付尾款,,888260,,, , , , , 
11/11/2019,TrendingSearch,,陪你到世界之巅 预言家,,884635,,, , , , , 
11/11/2019,TrendingSearch,,双十一,,872011,,, , , , , 
11/11/2019,TrendingSearch,,临近考研高校旁酒店爆满价格翻倍,,861326,,, , , , , 
11/11/2019,TrendingSearch,,香港特区政府就暴徒破坏行为发声,,850027,,, , , , , 
11/11/2019,TrendingSearch,,双十一1分36秒破100亿,,845870,,, , , , , 
11/11/2019,TrendingSearch,,朱一龙被男粉叫老公,,840141,,, , , , , 
11/11/2019,TrendingSearch,,fpx夺冠,,836736,,, , , , , 
11/11/2019,TrendingSearch,,不买立省100%,,833177,,, , , , , 
11/11/2019,TrendingSearch,,湖南台化妆师怎么了,,826150,,, , , , , 
11/11/2019,TrendingSearch,,doinb老婆,,819456,,, , , , , 
11/11/2019,TrendingSearch,,买买买之后最该看的微博,,814259,,, , , , , 
11/11/2019,TrendingSearch,,沈梦辰 皮裤,,703519,,, , , , , 
11/11/2019,TrendingSearch,,男生把宿舍装成酒店风,,583461,,, , , , , 
11/11/2019,TrendingSearch,,大学生一定要做白领吗,,476415,,, , , , , 
11/11/2019,TrendingSearch,,双十一付尾款时的我,,420802,,, , , , , 
11/11/2019,TrendingSearch,,吉克隽逸唱歌时灯灭了,,417894,,, , , , , 
11/11/2019,TrendingSearch,,高中生用函数模型做双11攻略,,405597,,, , , , , 
11/11/2019,TrendingSearch,,假装睡觉却在偷吃的猫,,284259,,, , , , , 
11/11/2019,TrendingSearch,,光棍节,,283162,,,1,Soft_news,Soft_news_casual,0,0
11/11/2019,TrendingSearch,,fpx表情包,,269797,,, , , , , 
11/11/2019,TrendingSearch,,沈腾看着杨洋,,268702,,, , , , , 
11/11/2019,TrendingSearch,,易烊千玺胡歌同框,,266043,,, , , , , 
11/11/2019,TrendingSearch,,人民空军成立70周年,,261758,,, , , , , 
11/11/2019,TrendingSearch,,香港中联办致在港内地生公开信,,259661,,, , , , , 
11/11/2019,TrendingSearch,,东北套娃小镇,,259022,,, , , , , 
11/11/2019,TrendingSearch,,肖战充微博会员,,256511,,, , , , , 
11/11/2019,TrendingSearch,,王一博表演完迷路了,,253771,,, , , , , 
11/11/2019,TrendingSearch,,强冷空气将到货请查收,,241420,,, , , , , 
11/11/2019,TrendingSearch,,31省份户籍制度改革进入关键期,,228832,,, , , , , 
11/11/2019,TrendingSearch,,亚洲最大小区每晚千人跳广场舞,,207666,,, , , , , 
11/11/2019,TrendingSearch,,杨洋假发,,206792,,, , , , , 
11/11/2019,TrendingSearch,,张艺兴 最受欢迎内地男歌手,,206152,,, , , , , 
11/11/2019,TrendingSearch,,pdd上当了,,204142,,, , , , , 
11/11/2019,TrendingSearch,,股市,,173091,,,1,Domestic_news,Current_affairs_economy,0,0
11/11/2019,TrendingSearch,,双十一晚会,,164616,,, , , , , 
11/11/2019,TrendingSearch,,火箭少女R1SE合照 真双十一,,156460,,, , , , , 
11/11/2019,TrendingSearch,,邓紫棋回应耳返没声音,,152136,,, , , , , 
11/11/2019,TrendingSearch,,李佳琦,,145894,,,1,Soft_news,Soft_news_celebrity&social,0,0
11/11/2019,TrendingSearch,,携号转网正式试运行,,134049,,, , , , , 
11/11/2019,TrendingSearch,,朱一龙看S9总决赛,,130728,,, , , , , 
11/11/2019,TrendingSearch,,玻利维亚总统宣布辞职,,126750,,, , , , , 
11/11/2019,TrendingSearch,,双十一1小时3分59秒破1000亿,,126667,,, , , , , 
11/11/2019,TrendingSearch,,先有宁王后有天,,110568,,, , , , , 
11/11/2019,TrendingSearch,,S9总决赛,,101175,,, , , , , 
11/11/2019,TrendingSearch,,刘涛为李佳琦涂三种颜色口红,,3633912,,, , , , , 
11/11/2019,TrendingSearch,,康辉 这次vlog发音对了吗,,2940548,,, , , , , 
11/11/2019,TrendingSearch,,魔法圣诞,,2871122,,, , , , , 
11/11/2019,TrendingSearch,,鹿晗关晓彤 日本,,2361996,,, , , , , 
11/11/2019,TrendingSearch,,霉霉 陈正飞,,1440380,,, , , , , 
11/11/2019,TrendingSearch,,余小晚救陈山,,1073587,,, , , , , 
11/11/2019,TrendingSearch,,表白跑错校区喊下同名女生,,936984,,, , , , , 
11/11/2019,TrendingSearch,,入冬小裙子怎么穿,,652687,,, , , , , 
11/11/2019,TrendingSearch,,双十一交易额,,637372,,, , , , , 
