story_date,year,month,day,,headline,forward,comment,likes,topic label
12/31/2019,2019,12,31,2019-12-31 21:03 来自 微博视频 已编辑,#2020年新年贺词#【@ 坚守岗位的你！习主席提到你啦】此时此刻，还有许多人在坚守岗位，许多人在守护平安，许多人在辛勤劳作。大家辛苦了！  L的微博视频 ​​​​,5105,1696,31916,CCP
12/31/2019,2019,12,31,2019-12-31 20:46 来自 微博视频 已编辑,#2020年新年贺词#【2019年，这是习近平最难忘的事，你的呢？】2019年，最难忘的是隆重庆祝新中国成立70周年。我们为共和国70年的辉煌成就喝彩，被爱国主义的硬核力量震撼。#2019你最难忘的事#是什么？L的微博视频 ​​​​,624,310,6869,CCP
12/31/2019,2019,12,31,2019-12-31 20:23 来自 微博视频 已编辑,【#2020年新年贺词#里，习近平点赞了哪些人？】张富清、黄文秀、杜富国、中国女排……许许多多无怨无悔、倾情奉献的无名英雄，他们以普通人的平凡书写了不平凡的人生。转发，致敬！  L的微博视频 ​​​​,1478,447,12565,CCP
12/31/2019,2019,12,31,2019-12-31 19:54  已编辑,#2020年新年贺词#【2020，习主席这样嘱托】让我们只争朝夕，不负韶华，共同迎接2020年的到来。#2020加油#！ ​​​​,3294,977,15201,CCP
12/31/2019,2019,12,31,2019-12-31 19:41 来自 微博云剪,#2020年新年贺词#【习近平：#我们不惧风雨不畏险阻#】历史长河奔腾不息，有风平浪静，也有波涛汹涌。我们不惧风雨，也不畏险阻。中国将坚定不移走和平发展道路，坚定不移维护世界和平、促进共同发展。 L的微博视频 ​​​​,2161,550,9042,CCP
12/31/2019,2019,12,31,2019-12-31 19:35 来自 微博云剪 已编辑,#2020年新年贺词#【致敬！习近平提到这些人和事】一辈子深藏功名、初心不改的张富清，把青春和生命献给脱贫事业的黄文秀，为救火而捐躯的四川木里31名勇士，用自己身体保护战友的杜富国，以十一连胜夺取世界杯冠军的中国女排…许许多多无怨无悔、倾情奉献的无名英雄，他们以普通人的平凡书写了不平凡的 ​​​​...展开全文c,1229,385,6994,CCP
12/31/2019,2019,12,31,2019-12-31 19:29 来自 微博云剪,#2020年新年贺词#【习近平：#真诚希望香港好#】近几个月来，香港局势牵动着大家的心。没有和谐稳定的环境，怎会有安居乐业的家园！真诚希望香港好、香港同胞好。香港繁荣稳定是香港同胞的心愿，也是祖国人民的期盼。 L的微博视频 ​​​​,824,352,6756,CCP
12/31/2019,2019,12,31,2019-12-31 19:27 来自 微博云剪,【转存完整视频！习近平#2020年新年贺词#】大家辛苦了，让我们只争朝夕，不负韶华，共同迎接2020年的到来！祝大家新年快乐！ L的微博视频 ​​​​,14853,2436,25083,CCP
12/31/2019,2019,12,31,2019-12-31 19:21  已编辑,【全文收藏！国家主席习近平发表#2020年新年贺词#】新年前夕，国家主席习近平通过中央广播电视总台和互联网，发表了二○二○年新年贺词。全文如下：,17905,3477,47488,CCP
12/31/2019,2019,12,31,2019-12-31 19:16 来自 微博云剪,#2020年新年贺词# 【这一年，习近平主席去过这些地方】提到你的家乡了吗？ L的微博视频 ​​​​,1142,719,7757,CCP
12/31/2019,2019,12,31,2019-12-31 19:06 来自 微博云剪,【习主席给你送祝福啦！】习近平：2020年就要到了，我在首都北京向大家送上新年的美好祝福！#2020年新年贺词# L的微博视频 ​​​​,2777,1212,11522,CCP
12/31/2019,2019,12,31,2019-12-31 18:44  已编辑,【转走迎接2020！2020#跨年文案#大赛】2020新年倒计时，当零点来临的那一刻，你想发点啥留作纪念？一组文案为你备好↓↓↓抛砖引玉，愿你新一年万事顺遂，平平安安！#2020加油# ​​​​,11422,2444,39458,Leisure
12/31/2019,2019,12,31,2019-12-31 15:49 来自 微博视频,【习近平#近六年新年贺词#，这些话暖心提气！】六年来，国家主席习近平每年都会在年末发表新年贺词，温暖人心、催人奋进，带给我们温暖和力量。新年将至，习主席将于31日晚7时发表#2020年新年贺词#。@ 将进行直播，一起期待！  L的微博视频 ​​​​,4620,1571,19924,CCP
12/31/2019,2019,12,31,2019-12-31 14:48  已编辑,【#客车开进阿布洛哈#！四川这个#三面环山一面临崖的村子通路了#】31日上午，四川凉山州布拖县阿布洛哈村，全国最后一个不通公路的建制村对外通道打通。阿布洛哈座落在金沙江大峡谷深处，在彝语中意为“高山中的深谷”。今后老百姓的出村时间，将由3个多小时缩短到30分钟以内。O网页链接 ​​​​,335,908,8503,Achievements
12/31/2019,2019,12,31,2019-12-31 13:46  已编辑,【#武汉市卫健委关于肺炎疫情的情况通报#：#武汉肺炎未发现明显人传人现象#，初步分析认为#武汉肺炎病例系病毒性肺炎#】近期部分医疗机构发现接诊的多例肺炎病例与华南海鲜城有关联，市卫健委接到报告后，立即在全市医疗卫生机构开展与华南海鲜城有关联的病例搜索和回顾性调查，目前已发现27例病 ​​​​...展开全文c,2774,3375,44083,Social affairs - disaster
12/31/2019,2019,12,31,2019-12-31 11:56  已编辑,【最新消息：#武汉肺炎不能断定是SARS#，此次肺炎病例大部分为华南海鲜城经营户】来自湖北省相关部门的消息称，12月以来，武汉市持续开展流感及相关疾病监测，发现病毒性肺炎病例27例，均诊断为病毒性肺炎/肺部感染。27例病例中，7例病情危重，其余病例病情可控，有2例病情好转拟近期出院。,7172,6259,133787,Social affairs - disaster
12/31/2019,2019,12,31,2019-12-31 11:32 来自 军事 · 视频社区,【#百余名老英雄被邀请回英雄营#：“老首长，让我再向您做一次汇报吧！”】近日，中部战区空军地导某旅“英雄营”成立61周年之际，举行新荣誉室揭牌仪式。百余名老英雄被邀请“回家”。在营区一角“英雄树”前，老兵刘明小声说着什么，眼泪突然流了下来…转发，向老英雄致敬！L央视军事的微博视频 ​​​​,1500,1004,13020,Role model
12/31/2019,2019,12,31,2019-12-31 10:12  已编辑,【中俄两国元首互致新年贺电】2019年12月31日，国家主席习近平和俄罗斯总统普京互致新年贺电。习近平在贺电中代表中国政府和中国人民，向普京总统和俄罗斯人民致以诚挚的祝贺和美好的祝愿。 °中俄两国元首互致新年贺电 ​​​​,627,593,3056,International affairs (China related)
