"�..story_date","year","month","day","Time","headline","topic.label","first_time_appear_eventbased","official.view","Response","Renmin.Daily","Renmin.Daily.Content","Notes","gtop","offvoice"
"11/8/2019",2019,11,8,"E","1. 第七次全国人口普查开始","Social affairs",1,0,0,0,"","","Social issues",0
"11/8/2019",2019,11,8,"E","2. 智利市长为躲记者提问当街狂奔","Social affairs",1,0,0,0,"","","Social issues",0
"11/8/2019",2019,11,8,"E","3. 美国向韩国索要328亿保护费","International affairs (non-China)",1,0,0,0,"","","International news",0
"11/9/2019",2019,11,9,"M","1. 15地独生子女有护理假","Social affairs - local policy ",1,0,0,0,"","","Social policy",0
"11/9/2019",2019,11,9,"M","2. 女市长被抗议者泼油漆剪头发","Social scandal",1,0,0,0,"","","Social issues",0
"11/9/2019",2019,11,9,"M","3. 警方通报9岁男孩被打死","Crime & court",1,0,0,1,"2","","Crime & court",1
"11/9/2019",2019,11,9,"M","4. 英警方公布39名货车遇难者信息","International news (non-China)",1,0,0,0,"","","International news",0
"11/9/2019",2019,11,9,"M","5. 长沙9岁男童遇害目击者回应","Crime & court",1,0,1,0,"","","Crime & court",0
"11/9/2019",2019,11,9,"M","6. 坠楼女教师生前长录音曝光","Crime & court",1,0,0,0,"","","Crime & court",0
"11/9/2019",2019,11,9,"E","1. 澳门大学学位颁授典礼师生高唱国歌","Patriotic acts/festivals",1,0,0,1,"1","","Flattering news",1
"11/9/2019",2019,11,9,"E","2. 百万香港市民参与反黑暴大联署","Hong Kong",1,0,0,0,"","","International news",0
"11/9/2019",2019,11,9,"E","3. 英国货车惨案遇难者最小15岁","International affairs (non-China)",0,0,0,0,"","","International news",0
"11/9/2019",2019,11,9,"E","4. 香港反对派议员朱凯迪被捕","Hong Kong",1,0,0,0,"","","International news",0
"11/10/2019",2019,11,10,"M","1. 央视主播谈精神问题不是免罪符","Crime & court",1,1,0,0,"","","Crime & court",1
"11/10/2019",2019,11,10,"M","2. 9岁男孩遇害案嫌犯被父母停药","Crime & court",0,0,0,0,"","","Crime & court",0
"11/10/2019",2019,11,10,"M","3. 又3名香港立法会议员被捕","Hong Kong",0,0,0,0,"","","International news",0
"11/10/2019",2019,11,10,"M","4. 百万香港市民参与反黑暴大联署","Hong Kong",1,0,0,0,"","","International news",0
"11/10/2019",2019,11,10,"M","5. 英国货车惨案遇难者最小15岁","International news (non-China)",0,0,0,0,"","","International news",0
"11/10/2019",2019,11,10,"M","6. 轰炸机飞行员央视霸气开讲","Role model",1,0,0,0,"","","Flattering news",0
"11/10/2019",2019,11,10,"E","1. 大庆产妇死亡初步调查情况","Crime & court",1,0,0,0,"","","Crime & court",0
"11/10/2019",2019,11,10,"E","2. 董明珠让利30亿打击低劣","Social affairs - consumer rights",1,0,0,0,"","","Social issues",0
"11/10/2019",2019,11,10,"E","3. 吉林混凝土罐车与面包车相撞","Crime & court",1,0,0,0,"","","Crime & court",0
"11/10/2019",2019,11,10,"E","4. 香港中联办致在港内地生公开信","Hong Kong",1,0,0,0,"","","International news",0
"11/10/2019",2019,11,10,"E","5. 警方向被误认嫖娼老人道歉","Hong Kong",1,0,0,0,"","","International news",0
"11/10/2019",2019,11,10,"E","6. 伊朗发现新油田","International news (non-China)",1,0,0,0,"","","International news",0
"11/10/2019",2019,11,10,"E","7. 第二届进博会累计意向成交711.3亿美元","Social affairs - economics",1,0,0,0,"","","Social issues",0
"11/10/2019",2019,11,10,"E","8. 10款App涉嫌超范围采集个人隐私","Social affairs - consumer rights",1,0,0,0,"","","Social issues",0
"11/10/2019",2019,11,10,"E","9. 港科大声明","Hong Kong",1,0,0,0,"","","International news",0
"11/11/2019",2019,11,11,"M","1. 香港特区政府就暴徒破坏行为发声","Hong Kong",1,0,0,0,"","","International news",0
"11/11/2019",2019,11,11,"M","2. 人民空军成立70周年","Patriotic acts/festivals",1,0,0,0,"","","Flattering news",0
"11/11/2019",2019,11,11,"M","3. 香港中联办致在港内地生公开信","Hong Kong",0,0,0,1,"","","International news",1
"11/11/2019",2019,11,11,"M","4. 31省份户籍制度改革进入关键期","Social affairs",1,0,0,0,"","","Social issues",0
"11/11/2019",2019,11,11,"M","5. 玻利维亚总统宣布辞职","International affairs (non-China)",1,0,0,0,"","","International news",0
"11/11/2019",2019,11,11,"E","1. 外交部劝美方别高估自己的造谣能力","International affairs (China-US)",1,1,0,0,"","","International news",1
"11/11/2019",2019,11,11,"E","2. 香港暴徒抢枪致警方开枪","Hong Kong",1,0,0,0,"","","International news",0
"11/11/2019",2019,11,11,"E","3. 六部门约谈网约车顺风车平台","Government acts",1,0,0,0,"","","Social policy",0
"11/11/2019",2019,11,11,"E","4. 浙大女生被害案维持原判","Crime & court",1,0,0,0,"","","Crime & court",0
"11/11/2019",2019,11,11,"E","5. 韩国重启世越号调查","International affairs (non-China)",1,0,0,0,"","","International news",0
"11/11/2019",2019,11,11,"E","6. 过年前的经济状况","Social affairs - economics",1,0,0,0,"","","Social issues",0
"11/11/2019",2019,11,11,"E","7. 民航局回应女乘客进驾驶舱","Social scandal",1,0,1,0,"","","Social issues",0
"11/12/2019",2019,11,12,"M","1. 大庆死亡产妇母亲回应质疑","Crime & court",0,0,1,0,"","","Crime & court",0
"11/12/2019",2019,11,12,"M","2. 韩媒曝福岛核设施发现41处裂缝","International affairs (non-China)",1,0,0,0,"","","International news",0
"11/12/2019",2019,11,12,"M","3. 獐子岛的扇贝又双叒跑了","Social scandal",1,0,0,0,"","","Social issues",0
"11/12/2019",2019,11,12,"M","4. 外交部劝美方别高估自己的造谣能力","International affairs (China-US)",1,0,0,0,"","","International news",0
"11/12/2019",2019,11,12,"M","5. 京阿尼纵火案嫌疑人杀人意图明确","Crime & court",1,0,0,0,"","","Crime & court",0
"11/12/2019",2019,11,12,"M","6. 浙江高速后排不系安全带将被罚","Social affairs",1,0,0,0,"","","Social issues",0
"11/12/2019",2019,11,12,"E","1. 长沙被打死男童遗体火化","Crime & court",0,0,0,0,"","","Crime & court",0
"11/12/2019",2019,11,12,"E","2. 东航回应航班万米高空速降","Social scandal",0,0,1,0,"","","Social issues",0
"11/12/2019",2019,11,12,"E","3. 香港中大","Hong Kong",1,0,0,0,"","","International news",0
"11/12/2019",2019,11,12,"E","4. 外交部批美英是非不分","International affairs (China-US)",1,1,0,0,"","","International news",1
"11/12/2019",2019,11,12,"E","5. 澳门又发大红包","Social affairs",1,0,0,0,"","","Social issues",0
"11/12/2019",2019,11,12,"E","6. 獐子岛董事长称扇贝是刚死的","Social scandal",0,0,1,0,"","","Social issues",0
"11/13/2019",2019,11,13,"M","1. 悉尼面临灾难级火灾风险","International news (non-China)",1,0,0,0,"","","International news",0
"11/13/2019",2019,11,13,"M","2. 港中大","Hong Kong",0,0,0,0,"","","International news",0
"11/13/2019",2019,11,13,"M","3. 内地生救援","Hong Kong",1,0,0,0,"","","International news",0
"11/13/2019",2019,11,13,"M","4. 港铁遭破坏7条线严重延误","Hong Kong",1,0,0,0,"","","International news",0
"11/13/2019",2019,11,13,"M","5. 默沙东埃博拉病毒疫苗获批上市","International news (non-China)",1,0,0,0,"","","International news",0
"11/13/2019",2019,11,13,"M","6. 德国之声 采访","Hong Kong",1,0,0,0,"","","International news",0
"11/13/2019",2019,11,13,"M","7. 阳澄湖超千家农家乐无照经营","Social scandal",1,0,0,0,"","","Social issues",0
"11/13/2019",2019,11,13,"E","1. 香港多间大学宣布余下学期提早结束","Hong Kong",1,0,0,0,"","","International news",0
"11/13/2019",2019,11,13,"E","2. 香港大学毕业典礼毕业生高唱国歌","Hong Kong",1,0,0,0,"","","International news",0
"11/13/2019",2019,11,13,"E","3. 香港元朗市民合力驱赶暴徒","Hong Kong",1,0,0,0,"","","International news",0
"11/13/2019",2019,11,13,"E","4. 真实缉毒现场有多危险","Role model",1,0,0,0,"","","Flattering news",0
"11/13/2019",2019,11,13,"E","5. 港警担心爱心市民被起底","Hong Kong",1,0,0,0,"","","International news",0
"11/13/2019",2019,11,13,"E","6. 香港警方昨天共拘捕142人","Hong Kong",1,0,0,0,"","","International news",0
"11/13/2019",2019,11,13,"E","7. 3名民警执行公务时遇车祸殉职","Role model",1,0,0,0,"","","Flattering news",0
"11/13/2019",2019,11,13,"E","8. 长沙被打死男童家属三问","Crime & court",0,0,1,0,"","","Crime & court",0
"11/14/2019",2019,11,14,"M","1. 天津理工有学生感染诺如病毒","Social affairs",1,0,0,0,"","","Social issues",0
"11/14/2019",2019,11,14,"M","2. 神秘人贩子梅姨案最新进展","Crime & court",1,0,0,0,"","","Crime & court",0
"11/14/2019",2019,11,14,"M","3. 香港大学毕业典礼毕业生高唱国歌","Hong Kong",0,0,0,0,"","","International news",0
"11/14/2019",2019,11,14,"M","4. 韩慰安妇对日本政府索赔案首开庭","International affairs (non-China)",1,0,0,0,"","","International news",0
"11/14/2019",2019,11,14,"M","5. 中国买家转战泰国炒房","International news (China related)",1,0,0,0,"","","International news",0
"11/14/2019",2019,11,14,"M","6. 材料造假4人北京户籍被注销","Social scandal",1,0,0,0,"","","Social issues",0
"11/14/2019",2019,11,14,"M","7. 港警担心爱心市民被起底","Hong Kong",0,0,0,0,"","","International news",0
"11/14/2019",2019,11,14,"M","8. 香港元朗市民合力驱赶暴徒","Hong Kong",0,0,0,0,"","","International news",0
"11/14/2019",2019,11,14,"M","9. 无锡地铁2号线竣工决算多计近6亿","Social affairs",1,0,0,0,"","","Social issues",0
"11/14/2019",2019,11,14,"M","10. 官方回应男童坠井身亡事件","Crime & court",1,0,1,0,"","","Crime & court",0
"11/14/2019",2019,11,14,"E","1. 起底香港乱局的幕后黑金","Hong Kong",1,0,0,0,"","","International news",0
"11/14/2019",2019,11,14,"E","2. 公安部 暗网不是法外之地","Crime & court",1,1,0,1,"1","","Crime & court",1
"11/14/2019",2019,11,14,"E","3. 梅姨案找回儿童父亲已自杀","Crime & court",0,0,0,0,"","","Crime & court",0
"11/14/2019",2019,11,14,"E","4. 老人看到牺牲消防员照片失声痛哭","Role model",1,0,0,1,"1","","Flattering news",1
"11/14/2019",2019,11,14,"E","5. 将工业酒精兑入婚宴酒致5死","Social scandal",1,0,0,1,"1","","Social issues",1
"11/14/2019",2019,11,14,"E","6. 神秘人贩子梅姨特征","Crime & court",0,0,0,0,"","","Crime & court",0
"11/14/2019",2019,11,14,"E","7. 香港将在周末实施宵禁系谣言","Hong Kong",1,0,0,0,"","","International news",0
"11/14/2019",2019,11,14,"E","8. 香港必须止暴制乱恢复秩序","Hong Kong",1,0,0,1,"2","16-Nov","International news",1
"11/15/2019",2019,11,15,"M","1. 疑被暴徒击中头部的香港男子死亡","Hong Kong",1,0,0,1,"1","#耿爽用四个不要警告英国#","International news",1
"11/15/2019",2019,11,15,"M","2. 香港律政司司长在伦敦遇袭","Hong Kong",1,0,0,1,"2","","International news",1
"11/15/2019",2019,11,15,"M","3. 美国今年发生85起校园枪击事件","International news (non-China)",1,0,0,0,"","","International news",0
"11/15/2019",2019,11,15,"M","4. 陈方安生被香港市民当街怒骂","Hong Kong",1,0,0,0,"","","International news",0
"11/15/2019",2019,11,15,"M","5. 蚌埠大火","Social affairs - disaster",1,0,0,0,"","","Social issues",0
"11/15/2019",2019,11,15,"M","6. 起底香港乱局的幕后黑金","Hong Kong",0,0,0,0,"","","International news",0
"11/15/2019",2019,11,15,"M","7. 孙杨抵达瑞士听证会现场","Social affairs - celebrity",1,0,0,0,"","","Soft news",0
"11/15/2019",2019,11,15,"M","9. 中国抗癌新药在美获批上市","International news (China related)",1,0,0,0,"","","International news",0
"11/16/2019",2019,11,16,"M","1. 香港经济状况急速恶化","Hong Kong",1,0,0,0,"","","International news",0
"11/16/2019",2019,11,16,"M","2. 孙杨回应与检测官发生冲突","Social affairs - celebrity",0,0,1,0,"","","Soft news",0
"11/16/2019",2019,11,16,"M","3. 香港市民自发悼念遇害清洁工老伯","Hong Kong",1,0,0,1,"1","","International news",1
"11/16/2019",2019,11,16,"M","4. 逾八成年轻人用信贷产品","Social affairs - trends",1,0,0,0,"","","Soft news",0
"11/16/2019",2019,11,16,"M","5. 港警指多间大学被改造成罪恶基地","Hong Kong",1,0,0,0,"","","International news",0
"11/16/2019",2019,11,16,"M","6. 英国多所大学召回在港交换生","Hong Kong",1,0,0,0,"","","International news",0
"11/16/2019",2019,11,16,"M","7. 意大利成全球首个强制开气候课国家","International news (non-China)",1,0,0,0,"","","International news",0
"11/16/2019",2019,11,16,"M","8. 澳大利亚林火已致350只考拉遇难","International news (non-China)",1,0,0,0,"","","International news",0
"11/16/2019",2019,11,16,"M","9. 英国女生发明鱼皮做的可降解塑料","International news (non-China)",1,0,0,0,"","","International news",0
"11/16/2019",2019,11,16,"E","1. 内地同行支持香港警队的歌","Hong Kong",1,0,0,0,"","","International news",0
"11/16/2019",2019,11,16,"E","2. 茂名通报12岁智障女孩二次怀孕","Social scandal",1,0,0,0,"","","Social issues",0
"11/16/2019",2019,11,16,"E","3. 香港10年来首次经济年度负增长","Hong Kong",0,0,0,0,"","","International news",0
"11/16/2019",2019,11,16,"E","4. 谢谢你阿sir侠","Hong Kong",1,0,0,0,"","","International news",0
"11/17/2019",2019,11,17,"M","1. 孙杨 不会输争取尊严讨回公道","Social affairs - celebrity",0,0,0,0,"","","Soft news",0
"11/17/2019",2019,11,17,"M","2. 香港10年来首次经济年度负增长","Hong Kong",0,0,0,0,"","","International news",0
"11/17/2019",2019,11,17,"M","3. 登记在册在世南京大屠杀幸存者只剩80人","Social affairs",1,0,0,2,"1","","Social issues",1
"11/17/2019",2019,11,17,"M","4. 汶川3.4级地震","Social affairs - disaster",1,0,0,0,"","","Social issues",0
"11/17/2019",2019,11,17,"M","5. 谢谢你阿sir侠","Hong Kong",0,0,0,0,"","","International news",0
"11/17/2019",2019,11,17,"M","6. 内地同行支持香港警队的歌","Hong Kong",0,0,0,0,"","","International news",0
"11/17/2019",2019,11,17,"M","7. 茂名通报12岁智障女孩二次怀孕","Social scandal",0,0,0,0,"","","Social issues",0
"11/17/2019",2019,11,17,"M","8. 46城喜提垃圾分类重点城市","Social affairs - environment",0,0,0,0,"","","Soft news",0
"11/17/2019",2019,11,17,"M","9. 獐子岛员工称希望公司倒闭","Social scandal",0,0,0,0,"","","Social issues",0
"11/17/2019",2019,11,17,"M","10. 荒岛现烂尾别墅群似幽灵古堡","Social affairs",0,0,0,0,"","","Social issues",0
"11/17/2019",2019,11,17,"E","1. 2022前后建成可载3人中国空间站","Achievements",1,0,0,0,"","","Flattering news",0
"11/17/2019",2019,11,17,"E","2. 记住梅姨的长相","Crime & court",0,0,0,0,"","","Crime & court",0
"11/17/2019",2019,11,17,"E","3. 香港警方防线有警员腿部中箭","Hong Kong",1,0,0,0,"","","International news",0
"11/17/2019",2019,11,17,"E","4. 我国非洲猪瘟病毒攻关取得进展","Achievements",1,0,0,0,"","","Flattering news",0
"11/17/2019",2019,11,17,"E","5. 香港暴徒被外国人痛骂","Hong Kong",1,0,0,0,"","","International news",0
"11/17/2019",2019,11,17,"E","6. 消防员跪地为火中救出的小猫输氧","Role model",1,0,0,0,"","","Flattering news",0
"11/17/2019",2019,11,17,"E","7. 全港学校18日继续停课","Hong Kong",1,0,0,0,"","","International news",0
"11/17/2019",2019,11,17,"E","8. 当代90后租房现状","Social affairs - trends",1,0,0,0,"","","Soft news",0
"11/18/2019",2019,11,18,"M","1. 香港被烧老伯随时有生命危险","Hong Kong",0,0,0,0,"","","International news",0
"11/18/2019",2019,11,18,"M","2. 7天连锁酒店两年关店超200家","Social affairs",1,0,0,0,"","","Social issues",0
"11/18/2019",2019,11,18,"M","3. 南开大学校长曹雪涛回应论文造假","Social scandal",1,0,1,0,"","","Social issues",0
"11/18/2019",2019,11,18,"M","4. 国产航母驶入台湾海峡","Achievements",1,0,0,1,"1&2","#外交部回应我国航母通过台湾海峡#","Flattering news",1
"11/18/2019",2019,11,18,"M","5. 消防员扔下被绑队长紧急出警","Role model",1,0,0,1,"1","","Flattering news",1
"11/18/2019",2019,11,18,"M","6. 北京九级大风","Social affairs - environment",1,0,0,0,"","","Soft news",0
"11/18/2019",2019,11,18,"M","8. 我国建成世界首例原位3D打印双层建筑","Achievements",1,0,0,1,"1","","Flattering news",1
"11/18/2019",2019,11,18,"M","9. 多地政府机关向社会开放食堂","Government acts",1,0,0,0,"","","Social policy",0
"11/18/2019",2019,11,18,"M","11. 青年汽车正式破产","Social affairs",1,0,0,0,"","","Social issues",0
"11/18/2019",2019,11,18,"M","12. 总台台长批西方媒体不尊重事实","International affairs (China related)",1,1,0,0,"","","International news",1
"11/18/2019",2019,11,18,"E","1. 香港被烧老伯妻子回应","Hong Kong",0,0,1,0,"","","International news",0
"11/18/2019",2019,11,18,"E","2. 外交部 任何人不要低估中国人的决心","International affairs (China related)",1,1,0,0,"","","International news",1
"11/18/2019",2019,11,18,"E","3. 香港理工大学附近部分暴徒被警方抓获","Hong Kong",1,0,0,0,"","","International news",0
"11/18/2019",2019,11,18,"E","4. 港警突然给暴徒放了三首歌","Hong Kong",1,0,0,0,"","","International news",0
"11/18/2019",2019,11,18,"E","5. 港警一哥任期最后一天","Hong Kong",1,0,0,0,"","","International news",0
"11/18/2019",2019,11,18,"E","6. 被拐儿童父亲回应梅姨彩照","Crime & court",0,0,1,0,"","","Crime & court",0
"11/18/2019",2019,11,18,"E","7. 地铁站广播提醒乘客吃早餐","Social affairs",1,0,0,0,"","","Social issues",0
"11/19/2019",2019,11,19,"M","1. 国务院任免香港特别行政区政府主要官员","Hong Kong",1,0,0,1,"1","","International news",1
"11/19/2019",2019,11,19,"M","2. ETC欠费超30日将上报个人征信","Social affairs - local policy ",1,0,0,0,"","","Social policy",0
"11/19/2019",2019,11,19,"M","3. 香港警队新一哥是何人物","Hong Kong",1,0,0,1,"1","#国务院任命邓炳强为香港警务处处长#","International news",1
"11/19/2019",2019,11,19,"M","4. 李伯被烧伤现场有2人被拘捕","Hong Kong",0,0,0,0,"","","International news",0
"11/19/2019",2019,11,19,"M","5. 塞纸片涉事男孩疑被赶出学校","Social scandal",1,0,0,0,"","","Social issues",0
"11/19/2019",2019,11,19,"M","6. 政府工作人员遭驾车冲撞致2死","Social scandal",1,0,0,0,"","","Social issues",0
"11/19/2019",2019,11,19,"M","7. 全国人大常委会法工委发言人发表谈话","Government acts",1,0,0,0,"","","Social policy",0
"11/19/2019",2019,11,19,"M","8. 山西煤矿瓦斯爆炸15人遇难","Social affairs - disaster",1,0,0,0,"","","Social issues",0
"",2019,11,19,"M","英国私校超四成海外学生是中国人","Diaspora",1,0,0,0,"","","International news",0
"11/19/2019",2019,11,19,"M","9. 教育部回应8所中医药大学未列入名录","Government acts",1,1,1,0,"","","Social policy",1
"11/19/2019",2019,11,19,"M","10. 山西长治规定彩礼不超5万","Social affairs - local policy ",1,0,0,0,"","","Social policy",0
"11/19/2019",2019,11,19,"E","1. 孙杨 感谢尿检官的诚实和勇敢","Social affairs - celebrity",0,0,0,0,"","","Soft news",0
"11/19/2019",2019,11,19,"E","2. 台名嘴怒批香港暴徒","Hong Kong",1,0,0,0,"","","International news",0
"11/19/2019",2019,11,19,"E","3. 黄之锋申请更改保释条件被拒","Hong Kong",1,0,0,0,"","","International news",0
"11/19/2019",2019,11,19,"E","4. 英国货车死者家属付不起运尸费","International news (non-China)",0,0,0,0,"","","International news",0
"11/19/2019",2019,11,19,"E","5. 600名中国留学生抗议乱港分子窜访纽约","Diaspora",1,0,0,0,"","","International news",0
"11/19/2019",2019,11,19,"E","6. 消防员出警归来一步三蹦跶","Crime & court",1,0,0,0,"","","Crime & court",0
"11/19/2019",2019,11,19,"E","金鸡奖直播","Leisure",1,0,0,1,"1","","Soft news",1
"11/19/2019",2019,11,19,"E","7. 香港警方于港中大检获3900枚汽油弹","Hong Kong",1,0,0,0,"","","International news",0
"11/19/2019",2019,11,19,"E","8. 被暴徒砸死的清洁工罗伯头七","Hong Kong",0,0,0,0,"","","International news",0
"11/20/2019",2019,11,20,"M","1. 香港警方于港中大检获3900枚汽油弹","Hong Kong",1,0,0,0,"","","International news",0
"11/20/2019",2019,11,20,"M","2. 港警火中拎出煤气罐","Hong Kong",1,0,0,0,"","","International news",0
"11/20/2019",2019,11,20,"M","3. 康辉喊话香港高院","Hong Kong",1,0,0,0,"","","International news",0
"11/20/2019",2019,11,20,"M","4. 港股","Hong Kong",1,0,0,0,"","","International news",0
"11/20/2019",2019,11,20,"M","5. 黑老大当庭指认主诉检察官","Crime & court",1,0,0,0,"","","Crime & court",0
"11/20/2019",2019,11,20,"M","6. 港澳办回应美参议院通过涉港法案","Hong Kong",1,1,1,0,"","","International news",1
"11/20/2019",2019,11,20,"M","7. 4.68亿个人信息泄露","Social scandal",1,0,0,0,"","","Social issues",0
"11/20/2019",2019,11,20,"M","8. 祁东通报多人与未成年女孩发生关系","Crime & court",1,0,0,0,"","","Crime & court",0
"11/20/2019",2019,11,20,"M","9. 韩美第11次军费协商破裂","International affairs (non-China)",1,0,0,0,"","","International news",0
"11/20/2019",2019,11,20,"M","10. 消防员救火后无法弯腰捡头盔","Crime & court",1,0,0,0,"","","Crime & court",0
"11/20/2019",2019,11,20,"M","旅美大熊猫贝贝回家","Leisure",1,0,0,1,"1","","Soft news",1
"11/20/2019",2019,11,20,"M","11. 喝风辟谷公司获政府补贴","Government acts",1,0,0,0,"","","Social policy",0
"11/20/2019",2019,11,20,"E","1. 康辉喊话香港高院","Hong Kong",0,0,0,0,"","","International news",0
"11/20/2019",2019,11,20,"E","2. 孙杨质疑血检官执业资质","Social affairs - celebrity",0,0,0,0,"","","Soft news",0
"11/20/2019",2019,11,20,"E","3. 外交部召见美驻华使馆负责人","International affairs (China-US)",1,0,0,0,"","","International news",0
"11/20/2019",2019,11,20,"E","4. 钢琴曲我的祖国响彻香港大会堂","Patriotic acts/festivals",1,0,0,0,"","","Flattering news",0
"11/20/2019",2019,11,20,"E","5. 上百亿美元比特币已永久丢失","Social affairs - economics",1,0,0,0,"","","Social issues",0
"11/21/2019",2019,11,21,"M","1. 年收入12万以下免除汇算清缴","Government acts",1,0,0,0,"","","Social policy",0
"11/21/2019",2019,11,21,"M","2. 美国将为中国留学生开启绿色通道","Diaspora",1,0,0,0,"","","International news",0
"11/21/2019",2019,11,21,"M","3. 印度洋葱价格暴涨100倍","International news (non-China)",1,0,0,0,"","","International news",0
"11/21/2019",2019,11,21,"M","4. 31省份最低工资调整","Social affairs - economics",1,0,0,0,"","","Social issues",0
"11/21/2019",2019,11,21,"M","5. 香港市民自发清理红磡隧道路障","Hong Kong",1,0,0,0,"","","International news",0
