微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
K57u7cDF4,【习近平：我很牵挂玉树】在十三届全国人大四次会议青海代表团审议上，习近平与扎西多杰代表交流时说：“玉树建设的情况，我都是非常关心的，也非常高兴。你讲到人们通过抗震救灾、通过扶贫攻坚，看到了党的关怀、党的力量，真正让我们的子孙后代也都能过上健康、现代、幸福的生活，玉树的将来就会更好。我很牵挂玉树的。” #两会青关注#  央视新闻的微博视频                                 ,,无,"http://f.video.weibocdn.com/1O5NbdSElx07KUhl9yz60104120072vJ0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622485333&ssig=4uCZX%2FEtzI&KID=unistore,video",无,2021-03-07 20:03,微博视频号,823,77,118
K575GqAl7,“你看你看啥，他看他看啥”，大家一起瞅瞅《他们今天看的啥》，中不中？#两会青关注#河南新闻广播的微博视频#河南话Rap版政府工作报告来啦#  ,,无,无,无,2021-03-07 19:03,微博视频号,1498,241,263
K56CVrJMJ,【再迎万吨大驱！拉萨舰官宣亮相】近日，青岛某军港，拉萨舰正式官宣亮相。拉萨号是我国研制建造的新一代055型驱逐舰二号舰，首舰为南昌舰。055型驱逐舰装备有新型防空、反导、反舰、反潜武器，具有较强的信息感知、防空反导和对海打击能力，是海军实现战略转型发展的标志性战舰！央视军事的微博视频                                 ,,无,"http://f.video.weibocdn.com/Q3F4wf6Wlx07KTOuIPhK010412006DS20E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&Expires=1622485341&ssig=VtTwpg%2FE2L&KID=unistore,video",无,2021-03-07 17:52,微博视频号,1454,215,242
K564Ylyea,王毅：#中国政府在台湾问题上没有妥协余地#，没有退让空间。#两会青关注# 共青团中央的微博视频  ,,无,无,无,2021-03-07 16:29,微博视频号,1765,214,288
K563PrwgU,【王毅：#新疆地区种族灭绝说法荒谬绝伦#】说到“种族灭绝”，大多数人想到的是16世纪的北美印第安人，19世纪的非洲黑奴，20世纪的犹太人，以及至今仍在坚持抗争的澳洲原住民。所谓新疆地区存在“种族灭绝”的说法荒谬绝伦，完全是别有用心的造谣，彻头彻尾的谎言。他们并不在乎什么是真相，而是热衷于政治操弄，企图人为制造出所谓涉疆问题，破坏新疆地区安全稳定，阻碍中国发展壮大。#两会青关注# 共青团中央的微博视频                                 ,,无,无,无,2021-03-07 16:26,微博视频号,1259,145,104
K55Yar4k5,【#中俄联手反对颜色革命#】“中俄组合”团结如山，始终是世界和平稳定的中流砥柱。我们将打造战略互信的典范，坚定支持对方维护核心重大利益，联手反对“颜色革命”，打击各种虚假信息，维护各自主权和政权安全。#两会青关注# 共青团中央的微博视频  ,,无,无,无,2021-03-07 16:12,微博视频号,3832,823,498
K55O05IA5,【#王毅说如不爱国谈何爱港#】放眼世界，无论在哪个国家，效忠自己的祖国都是公职人员以及竞选公职的人必须遵守的基本政治伦理。在香港也一样。香港是中国的特别行政区，是中华人民共和国的一部分。如果不爱国，谈何爱港。爱港和爱国是完全一致的。 #两会青关注# 共青团中央的微博视频  ,,无,"http://f.video.weibocdn.com/xVg9Az62lx07KU2UepuU010412002mVr0E010.mp4?label=mp4_hd&template=544x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1622485355&ssig=epWHep%2BPqq&KID=unistore,video",无,2021-03-07 15:47,微博视频号,1408,210,172
K55xM1aSU,【习近平：“大思政课”我们要善用之】3月6日，习近平总书记看望参加全国政协会议的医药卫生界教育界委员。听完委员们的讲述，总书记颔首赞许：“思政课不仅应该在课堂上讲，也应该在社会生活中来讲”，并感慨现在的年轻人心态在变，中国已经可以平视这个世界了。#两会青关注#  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/004isIazly1gobctxxrt9j612w0u0wig02.jpg,http://ww2.sinaimg.cn/large/004isIazly1gobctyvinkj60u0299wtp02.jpg",无,无,2021-03-07 15:07,无,1036,153,87
K552GrY1L,【#梁振英感叹国家给了香港多少机遇啊#】全国政协副主席梁振英：“十四五”规划关于香港的部分里，包括金融、贸易、航运、人民币离岸服务中心等等。“我很羡慕香港年轻人。新一代的香港人也是中国人，是我们国家的一分子，在国家总的发展势头里面，给我们多少机遇啊！” #两会青关注#...全文 ,,无,"http://f.video.weibocdn.com/SAtmnC2dlx07KTI82SME010412009EHO0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622485364&ssig=bQf2xlMmGU&KID=unistore,video",无,2021-03-07 13:50,微博视频号,806,93,117
K54iYEDXF,【男孩收到意外奖状哽咽：我会变的更好】为鼓励学生，老师特意颁发“最具期待奖”。小男孩激动落泪：我会变得更好！加油小伙！ 共青团中央的微博视频  ,,无,无,无,2021-03-07 11:58,微博视频号,6568,523,594
K53SLf9LX,【戍边战士匿名捐出立功奖金】近日，西藏阿里地区红十字会收到一笔3000元的匿名捐款，落款署名是“咱们阿里一个兵”。信中说，这笔钱是自己的三等功奖金，希望捐献出去让这份荣誉变得更有意义。感谢！ 央视军事的微博视频  ,,无,"http://f.video.weibocdn.com/hNcG4zeWlx07KSwiO1qo01041200thv50E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&Expires=1622485367&ssig=9ptZOVG3%2Bf&KID=unistore,video",无,2021-03-07 10:53,微博视频号,1534,163,199
K53rSmRwo,梁振英：危害国家和香港利益的人，肯定要排除出去，确保#爱国者治港# ！#两会青关注# （央视） 共青团中央的微博视频  ,,无,无,无,2021-03-07 09:47,微博视频号,2263,201,259
