微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,,,,,,,,,,
Ie9qRlyIo,【滚滚骗我吃竹子 快转存！超下饭！】咔嚓咔嚓，吧唧吧唧，吃最多的竹子，摆最酷的姿势！网友：哈哈哈哈哈哈哈笑得我刚吃完就饿了 http://t.cn/Ai1OfIxa早安！  ,,无,无,无,11/1/19 8:05,紫宝宝的Android,1346,221,284,,,,,,,,,,
Ie9SfhapO,【国防部回应中国高科技赶上美国：别想捧杀中国】美军官员称在一些高科技领域，中国已与美并驾齐驱，要求限制对中国技术转让。国防部发言人吴谦31日回应：在看待自身发展程度问题上，中方头脑是清醒的。希望美方不必妄自菲薄，但也别想捧杀中国！网友：理智中透露着霸气！人民日报的微博视频  ,,无,"http://f.video.weibocdn.com/003REMK0lx07yeQKxG5W010412002Jip0E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1622352017&ssig=64ZHnDFbH3&KID=unistore,video",无,11/1/19 9:12,紫宝宝的Android,2487,225,239,,,,,,,,,,
Ieav5dlrc,"【起底香城Online：打着游戏旗号的暴徒培训手册】""香城Online""，这款号称""最大真人RPG""的""游戏""压根没有本体，它根本就不是什么""游戏""，而是个货真价实的暴徒培训手册，是一些居心险恶的人用来掩人耳目的幌子。但现实不是游戏，当你倒下的时候，不会有字幕提醒：""GAME OVER""…吴知山的微博视频  ",,无,"http://f.video.weibocdn.com/004CmBJqlx07ydwWtqsE01041201aLPM0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622352015&ssig=wEdNa%2Bh5KR&KID=unistore,video",无,11/1/19 10:48,紫宝宝的Android,1272,143,156,,,,,,,,,,
IeaJWgNUr,"【人民日报社论：为实现中华民族伟大复兴提供有力保证】十九届四中全会审议通过的《决定》，是完善和发展我国国家制度和治理体系的纲领性文件，深刻回答了""坚持和巩固什么、完善和发展什么""这个重大政治问题，必将对推动各方面制度更加成熟更加定型、把我国制度优势更好转化为国家治理效能产生重大而深远的影响！ 原图 ",,http://wx3.sinaimg.cn/large/005Y2yg1ly1g8icoxef2sj30u041lb29.jpg,无,无,11/1/19 11:25,紫宝宝的Android,1963,144,149,,,,,,,,,,
IeaJWgNUr,"【人民日报社论：为实现中华民族伟大复兴提供有力保证】十九届四中全会审议通过的《决定》，是完善和发展我国国家制度和治理体系的纲领性文件，深刻回答了""坚持和巩固什么、完善和发展什么""这个重大政治问题，必将对推动各方面制度更加成熟更加定型、把我国制度优势更好转化为国家治理效能产生重大而深远的影响！                  原图                             ",,http://wx3.sinaimg.cn/large/005Y2yg1ly1g8icoxef2sj30u041lb29.jpg,无,无,11/1/19 11:25,紫宝宝的Android,1963,144,149,,,,,,,,,,
IeaPRfiqc,【火箭军战士捐造血干细胞给8岁男孩 ：等你痊愈我们一起回报社会！】吴景硕，火箭军中士，造血干细胞捐献志愿者。他和一名患有地中海贫血8岁男孩配型成功，捐献历时5天，扎针14次。他写信鼓励孩子：叔叔不需要任何回报，等你痊愈我们一起回报社会。谢谢你，守护生命的兵哥哥！央视军事的微博视频  ,,无,"http://f.video.weibocdn.com/003v94q7lx07yaBi1kQo01041200qDlP0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1622352008&ssig=2IMnIjqPXa&KID=unistore,video",无,11/1/19 11:39,紫宝宝的Android,1923,135,233,,,,,,,,,,
IebL2Bysu,"【女子刚拿驾照开车找不到家崩溃大哭：我怎么导航都不会用】24日，安徽合肥一女子把车停在路上崩溃大哭，""我怎么办啊！""""我导航都不会用。""原来女子刚拿驾照，不熟悉路况迷路找不到回家路…随后，@合肥高新交警 用摩托车为女子开路。交警表示：""现在上班都不容易，我理解！""新京报我们视频的秒拍视频  ",,无,"http://miaopai.video.weibocdn.com/001OAeMblx07yeaO1ZRK01041200zDaR0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622352006&ssig=qRLgsc5C5G&KID=unistore,video",无,11/1/19 14:00,紫宝宝的Android,2766,164,414,,,,,,,,,,
IecmQoObA,【教育部明确：教授连续三年不教本科生转出教师系列】31日，教育部网站公布《关于一流本科课程建设的实施意见》。文件明确，高等学校要严格执行教授为本科生授课制度，连续三年不承担本科课程的教授、副教授，转出教师系列！http://t.cn/Ai1dX9UM  [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/005Y2yg1ly1g8ikrb36a0j30j60csjt4.jpg,http://ww3.sinaimg.cn/large/005Y2yg1ly1g8ikrbd43wj30j60cs40h.jpg",无,无,11/1/19 15:33,紫宝宝的Android,1270,70,177,,,,,,,,,,
IecLYe7oO,【消防员退伍时警铃突然响起 他的选择是……】25日，广西南宁消防的一名消防员即将退队，正在大门前跟队友拥抱告别时，警铃突然响起。队友像往常一样以最快的速度出警，他一个人默默拿着东西站在了大门旁。然而，当消防车开到门口时，他迅速跑了上去…感谢守护 广西消防的微博视频  ,,无,"http://f.video.weibocdn.com/003LnpKClx07yav9Io6Q01041200mlJ50E010.mp4?label=mp4_hd&template=544x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1622352004&ssig=yXhVz%2Bfgcu&KID=unistore,video",无,11/1/19 16:35,紫宝宝的Android,1529,97,138,,,,,,,,,,
IecVnfxKr,【外交部回应美不派高级代表参加进博会：来，欢迎；不来，也没什么大不了】有报道称，美方今天确认不会派高级别代表参加本届进博会。对此，耿爽表示：我想，他们来，我们欢迎；他们不来，也没有什么大不了。目前报名参展的美国企业数量达到192家。美方参展面积达到了4.75万平方米，居各参展国首位。这再次说明，美国企业看好中国经济前景，看好中国市场潜力，愿意继续投资中国，愿意继续深化与中方的务实合作。我想这更为重要。毕竟跟中国做生意的、跟中国开展具体经贸合作的是美国企业！ 原图 ,,http://wx1.sinaimg.cn/large/005Y2yg1ly1g8in9w27ktj30ak0c3t8z.jpg,无,无,11/1/19 16:58,紫宝宝的Android,6648,250,433,,,,,,,,,,
